,http://lib.ru/PROZA/,author
0,../INPROZ/,Переводная проза
1,http://az.lib.ru,Русская классика
2,../RUSSLIT/,Русская проза 30-х годов
3,../NEWPROZA/,Русская проза 90-х годов
4,http://lit.lib.ru,Русская проза 2000-х годов
5,http://samlib.ru/janr/index_janr_5-1.shtml,"Проза в журнале ""Самиздат"""
6,ABRAMOW/,Абрамов Федор
7,http://lit.lib.ru/a/agafonow_w_j/,Агафонов Василий
8,ADAMOWICH_A/,Адамович Алесь
9,../AZOLXSKIJ/,Азольский Анатолий
10,AJTMATOW/,Айтматов Чингиз
11,AKIMOW/,Акимов Игорь
12,../RUSS_DETEKTIW/BAKUNIN/,Акунин Борис
13,ALEKSIN/,Алексин Анатолий
14,ALESHKOWSKIJ/,Алешковский Юз
15,http://lit.lib.ru/a/alimzhanow_a_t/,Алимжанов Ануар
16,ANDRONIKOW/,Андроников Ираклий
17,http://lit.lib.ru/a/ancharow_m_l/,Анчаров Михаил
18,ARSENOW/,Арсенов Яков
19,ARSENTIEW/,Арсеньев В.К.
20,ASTAFIEW/,Астафьев Виктор
21,BAKLANOW/,Бакланов Григорий
22,BALTER/,Балтер Борис
23,BAHWALOW_A/,Бахвалов Александр
24,BEDNYJ_B/,Бедный Борис
25,BEK/,Бек Александр
26,BELILOWSKIJ/,Белиловский Михаил
27,BELYAEW_W/,Беляев Владимир
28,BITOW/,Битов Андрей
29,../MEMUARY/AFGAN/BOBROW_G/,Бобров Глеб
30,BOGDANOW_L/,Богданов Леонид
31,BOGOMOLOW/,Богомолов Владимир
32,BONDAREW/,Бондарев Юрий
33,BONDARENKO/,Бондаренко Борис
34,http://lit.lib.ru/b/bonchosmolowskaja_m_a/,Бонч-Осмоловская Марина
35,BORODIN_L/,Бородин Леонид
36,http://lit.lib.ru/b/boss_w/,Босс Валерий
37,BRUSHTEJN/,Бруштейн Александра
38,http://lit.lib.ru/b/bubennov/,Бубеннов Михаил
39,../BULGAKOW/,Булгаков Михаил
40,BYKOW/,Быков Василь
41,WAJLGENIS/,Вайль Петр; Генис Александр
42,WARLAMOW/,Варламов Алексей
43,WASILXEW_YU/,Васильев Юрий
44,../WELLER/,Веллер Михаил
45,http://lit.lib.ru/w/wershowskij_m_g/,Вершовский Михаил
46,../WIZBOR/,Визбор Юрий
47,WOJNOWICH/,Войнович Владимир
48,WOROBIEW/,Воробьев Константин
49,WYAZEMSKIJ/,Вяземский Юрий
50,GABYSHEW/,Габышев Леонид
51,GAZDANOW/,Газданов Гайто
52,GALEGO/,Гальего Рубен Давид Гонсалес
53,GERMAN/,Герман Юрий
54,GONCHAR/,Гончар Олесь
55,GORALIK_L/,Горалик Линор
56,GRANIN/,Гранин Даниил
57,GREKOWA/,Грекова И.
58,GROSSMAN/,Гроссман Василий
59,GUBAREW/,Губарев Владимир
60,GUCKO_D/,Гуцко Денис
61,DAWYDOWA/,Давыдова Наталья
62,../MEMUARY/1939-1945/DEGEN/,Деген Ион
63,DEGTEW_W/,Дегтев Вячеслав
64,../NEWPROZA/DJIN/,Джин Нодар
65,DIKOWSKIJ/,Диковский Сергей
66,../DOWLATOW/,Довлатов Сергей
67,DOMBROWSKIJ/,Домбровский Юрий
68,http://lit.lib.ru/d/doroshenko_n_i/,Дорошенко Николай
69,DRUZHNIKOV/,Дружников Юрий
70,DUBROWSKIJ_E/,Дубровский Евгений
71,DUDINCEW/,Дудинцев Владимир
72,../DUMBADZE/,Думбадзе Нодар
73,http://lit.lib.ru/d/dyshalenkowa_r_a/,Дышаленкова Римма
74,EKIMOW/,Екимов Борис
75,../EROFEEW_WI/,Ерофеев Виктор
76,http://lit.lib.ru/e/esin_s_n/,Есин Сергей
77,http://fan.lib.ru/e/eskov/,Еськов Кирилл
78,../NEWPROZA/ZHIWOW/,Живов Вадим
79,../ZHITINSKIJ/,Житинский Александр
80,ZAKRUTKIN/,Закруткин Виталий
81,ZALYGIN/,Залыгин Сергей
82,ZAMQTIN/,Замятин Евгений
83,ZWEREW_I/,Зверев Илья
84,ZVYAGELSKY/,Звягельский Ромен
85,ZINOWXEW/,Зиновьев А.
86,IBRAGIMBEKOW/,Ибрагимбеков Максуд
87,../ILFPETROV/,Ильф и Петров
88,../FISKANDER/,Искандер Фазиль
89,../RUFANT/IWANOW_A/,Иванов Алексей
90,../KABAKOW/,Кабаков Александр
91,KAZAKEWICH/,Казакевич Эммануил
92,KAZAKOW/,Казаков Юрий
93,KALEDIN/,Каледин Сергей
94,KAPLER/,Каплер Алексей
95,KARPOW_W/,Карпов Владимир
96,KASSIL/,Кассиль Лев
97,KATAEW/,Катаев Валентин
98,../TALES/KEMOKLIDZE/,Кемоклидзе Герберт
99,KIM/,Ким Анатолий
100,KLIMOV_GP/,Климов Григорий
101,KNORRE_F/,Кнорре Федор
102,../KOWAL/,Коваль Юрий
103,../KOZLOW/,"Козлов Сергей (""Ежик в тумане"")"
104,../KOZLOVSKY/,Козловский Евгений
105,KONDRATIEW/,Кондратьев Василий
106,../KONECKIJ/,Конецкий Виктор
107,KRIWIN/,Кривин Феликс
108,http://lit.lib.ru/k/kriger_b_j/,Кригер Борис
109,KRUPIN/,Крупин Владимир
110,http://lit.lib.ru/k/krjukowa_e_n/,Крюкова Елена
111,KUWAEW/,Куваев Олег
112,KUZNECOW_A/,Кузнецов Анатолий
113,http://lit.lib.ru/k/kuznecow_s_j/,Кузнецов Сергей
114,KUROCHKIN/,Курочкин Виктор
115,http://lit.lib.ru/l/lebedewa_g/,Лебедева Галина
116,LEWASHOW/,Левашов Виктор
117,LEONOWL/,Леонов Леонид
118,LIMONOV/,Лимонов Эдуард
119,LIPKIN_S/,Липкин Семен
120,LIPSKEROV/,Липскеров Дмитрий
121,LIPSKEROV_M/,Липскеров Михаил
122,LIHANOW/,Лиханов Альберт
123,../CULTURE/LITSTUDY/LUKNICKAYA/,Лукницкая Вера
124,LOUKNITSKIY_P/,Лукницкий Павел
125,LOUKNITSKIY/,Лукницкий Сергей
126,LXWOW_S/,Львов Сергей
127,lvova.txt,Львова Марина
128,MAKANIN/,Маканин Владимир
129,MAMLEEW/,Мамлеев Юрий
130,http://lit.lib.ru/m/markowich_d_s/,Маркович Дан
131,MARKUSHA/,Маркуша Анатолий
132,http://lit.lib.ru/m/mashkowcew_w_i/,Машковцев Владилен
133,MERKULOW_O/,Меркулов Олег
134,METTER/,Меттер Израиль
135,../RUSS_DETEKTIW/MIRHAJDAROW/,Мир-Хайдаров Рауль
136,MIHINN/,Михин Николай
137,MOZHAEW/,Можаев Борис
138,MUSATOW/,Мусатов Алексей
139,../NABOKOW/,Набоков Владимир
140,NAGIBIN/,Нагибин Юрий
141,NEKRASOW/,Некрасов Виктор
142,http://lit.lib.ru/n/nemchinow_g_a/,Немчинов Геннадий
143,NILIN/,Нилин Павел
144,NOSOW_E/,Носов Евгений
145,http://lit.lib.ru/o/osanches/,О'Санчес
146,OKUDZHAWA/,Окуджава Булат
147,ORLOW_O/,Орлов Владимир
148,PAVLOV_O/,Павлов Олег
149,PAUSTOWSKIJ/,Паустовский Константин
150,PEPPERSHTEJN/,Павел Пепперштейн
151,PETRUSHEWSKAYA/,Петрушевская Людмила
152,RADIJ/,Погодин Радий
153,../PODOLSKIJ/,Подольский Наль
154,../POKROWSKIJ/,Покровский Александр
155,POLEWOJ/,Полевой Борис
156,../NEWPROZA/POLYANSKAYA_I/,Полянская Ирина
157,PRISTAWKIN/,Приставкин Анатолий
158,../PRISHWIN/,Пришвин Михаил
159,PIECUH/,Пьецух Вячеслав
160,RAZGON_L/,Разгон Лев
161,RASPUTIN/,Распутин Валентин
162,http://lit.lib.ru/r/ratushinskaja_i_b/,Ратушинская Ирина
163,REKEMCHUK/,Рекемчук Александр
164,../NEWPROZA/RUBINA/,Рубина Дина
165,RYBAS/,Рыбас Святослав
166,RYBAS_T/,Рыбас Тарас
167,RYETHU_J/,Рытхэу Юрий
168,SAWELXEW/,Савельев Андрей
169,http://lit.lib.ru/s/sadur_n_n/,Садур Нина
170,http://lit.lib.ru/s/sanaev/,Санаев Павел
171,http://lit.lib.ru/s/safonow_w_a/,Сафонов Вадим
172,../INPROZ/SEVELA/,Севела Эфраим
173,SIMASHKO/,Симашко Морис
174,http://lit.lib.ru/s/slawich_s_k/,Славич Станислав
175,SLAPOWSKIJ/,Слаповский Алексей
176,SLIPENCHUK/,Слипенчук Виктор
177,../PRIKL/SMUUL/,Смуул Юхан
178,SOKOLOW_MIKITOW/,Соколов-Микитов Иван
179,SOLZHENICYN/,Солженицын Александр
180,SOLOUHIN/,Солоухин Владимир
181,../SOROKIN/,Сорокин Владимир
182,STADNYUK/,Стаднюк Иван
183,SUSI/,Суси Валерий
184,TARASEWICH/,Тарасевич Игорь
185,http://lit.lib.ru/t/tarn_a/,Тарн Алекс
186,http://lit.lib.ru/t/ten_w_k/,Тен Владимир
187,TENDRYAKOW/,Тендряков Владимир
188,TITOW_W/,Титов Владислав
189,TITOW_R/,Титов Ростислав
190,TOLSTAYA/,Толстая Татьяна
191,TROEPOLSKIJ/,Троепольский Гавриил
192,TUCHKOV/,Тучков Владимир
193,USPENSKIJ_L/,Успенский Лев
194,FEDIN/,Федин Константин
195,FEDOSEEW/,Федосеев Григорий
196,FONQKOWA_E/,Фонякова Элла
197,FRAERMAN/,Фраерман Рувим
198,FREADV/,Фрид Валерий
199,http://lit.lib.ru/h/hafizow_o_e/,Хафизов Олег
200,HEJDOK/,Хейдок Альфред
201,../HLUMOW/,Хлумов Владимир
202,../ZHURNAL/CIPIS/,Ципис Наум
203,CHAKOWSKIJ/,Чаковский Александр
204,../CHERNYH/,Черных Валентин
205,CHIWILIHIN/,Чивилихин Владимир
206,CHILAYA_S/,Чилая Сергей
207,CHULAKI_M/,Чулаки Михаил
208,SHAHNAZAROW_K/,Шахназаров Карен
209,KLOCHKO/,Ширянов Баян
210,SHISHKIN/,Шишкин Михаил
211,SHMELEW/,Шмелев Николай
212,../INPROZ/ALEJHEM/,Шолом-Алейхем
213,SHOLOHOW/,Шолохов Михаил
214,SHRAERPETROV/,Шраер-Петров Давид
215,../SHUKSHIN/,Шукшин Василий
216,ERENBURG/,Эренбург Илья
217,../RUSS_DETEKTIW/JUDENICH/,Юденич Марина
218,YAMPOLSKIJ/,Ямпольский Борис Самуилович
219,http://lit.lib.ru/j/jampolxskij_b_j/,Ямпольский Борис Яковлевич
220,YASHIN/,Яшин Александр
221,../INPROZ/,Переводная проза
222,../LITRA/,Русская классика
223,../RUSSLIT/,Русская проза 30-х годов
224,../NEWPROZA/,Русская проза 90-х годов
225,http://samlib.ru/janr/index_janr_5-1.shtml,"Проза в журнале ""Самиздат"""
